character,dialogue
SKYLER,im sorry gave time really
GUS,dont think youre ready
SKYLER,okay
SKYLER,walt mastercards one dont use
WALT,he picture saved life owed done exactly wanted isnt
JESSE,every cent earns every cent wife earns mine place go anywhere turn im gon na grabbing share hell scrubbing toilet tijuana penny ill standing get cut hell see wake morning crawl sleep whatever rat hole left shred house haunt crusty as forever day stick gun mouth pull trigger get head thats happens next
WALT,nothing im fine
WALT,really
SKYLER,get
JESSE,ever like wild animal trapped house
JESSE,nothing
SAUL,really think he serious
SKYLER,dont know hell im anymore yknow
HANK,
HANK,hi uh mr ortega
JESSE,yeah
JESSE,point onefour thats like
MARIE,ill go find somebody
JESSE,long think youve got
HANK,made mistake watching jeopardy dude one time
SKYLER,dont tell amir sending home five
JESSE,right thats
HANK,ask im im know deadend potentially uh im working case uh
MARIE,well flynn look like hold fort bout go office
HANK,meth lab nasty good day mix stuff wrong wind mustard gas
WALT,five night week two hour notice
WALT,ill im gon na need help mean theyre watching day night never leave alone gale moment hell dont even know man life he phone book cant find internet
SKYLER,walt
JESSE,mr white
WALT,many bedroom
WALT,teklaiymeawrehyyou going
MARIE,best physical therapist know
MARIE,midlife crisis
WALT,help
JESSE,uh oh right look look
SKYLER,um thinking maybe car wash
WALT,amir talked inside till six
WALT JR,im taking bus
HANK,want beg
JESSE,im close
SKYLER,need help right elliott help u money nothing world would take
JESSE,acting like skippy little bitch like fun game shit shit take serious
MARIE,say
MARIE,ookay
JESSE,duh yeah like im idiot
JESSE,crap get left behind
SKYLER,wow look size basket got many goody look chocolatecovered pretzel uh cheese stick fancy designer olive
WALT JR,got ta treat like
SKYLER,killed
WALT,well uh think get dont mean think saw coming see unhappiness
SKYLER,im talk hank know whats gon na happen pinkman press charge
SAUL,name
GUS,option b
MARIE,he going steve gomez going place
WALT,ive got money ive got money know spend dont family ive got put life back together somehow
HANK,asshole
WALT,yeahyeah
GUS,food satisfaction
JESSE,pheromone supposed kick as bet catch mofo second
WALT,
SKYLER,turn
SAUL,hell welcome pleasure im gon na call skyler thats okay lovely name reminds big beautiful sky walt never told lucky lucky prior recent unfortunate event
SKYLER,yes
HANK,good
JESSE,know dude want sell
JESSE,dont even know
WALT,eighty million let drive away
WALT,well wrote wrong thats said said eighty five always eightyfive seventyfive ninetyfive eightyfive
JESSE,right need sign something something
SKYLER,yeah okay well talk later
MARIE,work
JESSE,dont know youre talking
MARIE,hey get leg high say go
MARIE,know love little pookums leave next eighteen year far im concerned
WALT,legal business
WALT,erlenmeyer flask wouldnt cook one
JESSE,okay okay wan na see
MARIE,gon na tell
WALT,ill tell think ploy ploy get cooking obvious one
JESSE,disease discovery channel intestine sorta slip right outta butt
JESSE,um crystal think could hook
HANK,cheer people still got j lo
MIKE,professional courtesy one know im understand
JESSE,long think youve awake
MARIE,get well best wish ted beneke folk beneke fabricator
JESSE,hey mr white
WALT,wan na stay
HANK,listen uh
MARIE,wondering feel
SKYLER,jesus
JESSE,figure could use coffee know could
JESSE,watch yo cook watch
GUS,good suggest add monday maintenance schedule
SAUL,clearly taste woman taste lawyer best right amount dirty
JESSE,please dumbass
HANK,attacked
JESSE,hey dress like faggot want
SAUL,plus got bumper boat
MARIE,know mean
JESSE,nothing change walk outta get new rv go start cooking
HANK,im gon na head back
HANK,upon hearing news left mr pinkman vehicle attend wife arriving hospital learned emergency call hoax wife fortunately unharmed
WALT,let get tray ready clean moisture
WALT,whatever whatever alright he multimillionaire whats gon na say sorry bad youre
JESSE,one dude whore actually doin work aint gettin fisted
WALT,red phosphorus heat applied oxidizes yield carbonyl chloride phosgene gas one good whiff
SAUL,send
MARIE,prying oh thats
SKYLER,thats thats go keep going keep going keep going keep
SKYLER,um marie ted bos
WALT JR,damn tv doesadd ten pound
JESSE,yeah like working
SKYLER,dont want die thats whole point thats asked
SAUL,huh right else gon na find cashonly business thats much fun unless talking massage parlor uh dont see
SAUL,lady jessesan he full treatment
WALT JR,hey check see mean check date next thursday officially six month ive learner mean
JESSE,yeah im done using
MIKE,apd known sit place keep eye coming goinga
WALT JR,think id good either old iroc stang
SKYLER,walt
HANK,listen hate bother uh quick question
GUS,push came shove wondering soon might able take lab uh assistant
HANK,old man back teaching
WALT JR,yeah
SKYLER,walt wheres holly
JESSE,whoa
SKYLER,enough
MARIE,hank get stronger every day dont need hospital
SAUL,thats simple walt came great story gambling winning blackjack right cardcounting system
MARIE,jesus got ta get back
WALT,wwhat showed secret every cook got recipe taught mine
MIKE,walter youve busy
MARIE,walter jr know
HANK,hour right im hurting could use med
WALT JR,im asking question wwhy got ta like cant talk even
GUS,sit
SKYLER,wow suddenly fantasy story
HANK,marie
HANK,yeah still less three
MARIE,chrysanthemum look like chrysanthemum look hank arent beautiful
WALT,walt please call walt
JESSE,yeah im gon na im gon na make count alright
JESSE,come
WALT,listen brotherinlaw surveilling jesses house understand
