character,dialogue
SKYLER,"I’m so sorry, you gave me and that time off and I really should have --"
GUS,You don’t think you’re ready now?
SKYLER,Okay.
SKYLER,"Walt, the MasterCard’s the one we don’t use."
WALT,"He’s out of the picture.  I saved his life -- I owed him that.  But now he and I are done.  Which is exactly what you wanted, isn’t it?"
JESSE,"Every cent he earns, every cent his wife earns, is mine.  Any place he goes, anywhere he turns, I’m gonna be there, grabbing my share.  He’ll be scrubbing toilets in Tijuana for pennies, and I’ll be standing over him to get my cut.  He’ll see me when he wakes up in the morning, and when he crawls to sleep in whatever rat hole’s left for him after I shred his house down.  I will haunt his crusty ass forever, until the day he sticks a gun up his mouth and pulls the trigger just to get me out of his head. That’s what happens next."
WALT,Nothing.  I’m fine.
WALT,Really?
SKYLER,Get.  Out.
JESSE,"You ever have like, a wild animal trapped in your house?"
JESSE,... Nothing.
SAUL,You really think he’s serious?
SKYLER,"I just don’t know what the hell I’m doing anymore, y’know?"
HANK,Do I have to be there?
HANK,"Hi there.  Uh, Mrs. Ortega?"
JESSE,Yeah.
JESSE,"Point one-four, that’s like..? What does that --"
MARIE,I’ll go find somebody.
JESSE,How long you think you’ve got?
HANK,I made the mistake of watching “Jeopardy” with this dude one time.
SKYLER,Don’t tell me Amir’s sending you home at five now.
JESSE,Right.  That’s why.
HANK,"Now, I only ask this because I’m... I’m at a, you know, a dead-end here, potentially.  Uh, I’m working a case, and, uh..."
MARIE,"Well, Flynn looks like he can hold down the fort.  How ‘bout we go in your office."
HANK,"Meth labs are nasty on a good day -- but when you mix that stuff wrong, you wind up with mustard gas."
WALT,"Five nights a week, with two hours’ notice."
WALT,"I’ll do it.  I’m gonna need your help.  I mean, they’re watching me day and night.  They never leave me alone with Gale, not for a moment. Hell, I don’t even know where the man lives.  He’s not in the phone book, I can’t find him on the Internet."
SKYLER,Walt..?
JESSE,Mr. White..?
WALT,How many bedrooms?
WALT,O teklaiy.meAwrehyy?ou a t going to
MARIE,Who is the best physical therapist that you know?
MARIE,"So, it’s a mid-life crisis."
WALT,Help me how?
JESSE,"It’s, uh... oh!  Right there. Look.  Look!"
SKYLER,"Um, we’re thinking maybe a car wash."
WALT,"Amir, no.  We talked about this. Inside only.  And only till six."
WALT JR,I’m taking the bus.
HANK,"What, you want me to beg?"
JESSE,I’m so close.
SKYLER,"We need help right now, and Elliott can help us.  That money is nothing to him.  Why in the world would you not take it?"
JESSE,Acting like some skippy little bitch.  Like this is fun and games. This shit is shit you take -- serious.
MARIE,I say it will.
MARIE,...o-okay.
JESSE,"Duh!  Yeah, like I’m an idiot."
JESSE,What about the crap that gets left behind?
SKYLER,"Wow, look at the size of this basket.  It’s got so many goodies in it!  Look.  Chocolate-covered pretzels and, uh, cheese sticks and some fancy designer olives..."
WALT JR,Why you gotta treat him like this?
SKYLER,You killed him.
WALT,"Well... I, uh, I think he gets it, don’t you?  I mean, I... I think he saw it coming.  He sees your unhappiness, and..."
SKYLER,I’m here to talk about Hank.  You know what’s gonna happen to him if this Pinkman presses charges.
SAUL,#NAME?
GUS,What is Option B?
MARIE,He’s not going.  Steve Gomez is going in his place.
WALT,I’ve got money.  I’ve got more money than I know how to spend. What I don’t have is my family. I’ve got to put my life back together.  Somehow.
HANK,Asshole.
WALT,Yeah-yeah.  Why?
GUS,Is the food to your satisfaction?
JESSE,Those pheromones are supposed to kick ass.  I bet we catch this mofo any second.
WALT,How?
SKYLER,Can you turn that off?
SAUL,"Hell.  Welcome.  What a pleasure it is to have you!  I’m just gonna call you Skyler, if that’s okay. It’s a lovely name.  Reminds me of a... big beautiful sky.  Walt never told me lucky how lucky he was... prior to recent unfortunate events."
SKYLER,"Yes, you are."
HANK,Good.
JESSE,I know a dude wants to sell his.
JESSE,I don’t even know.
WALT,Eighty million.  And it’s yours. You can have it if you just let him drive away.
WALT,"Well, you wrote it wrong!  That’s not what I said.  I said eighty- five, it’s ALWAYS been eighty-five. Not seventy-five, not ninety-five. Eighty-five."
JESSE,Right on.  So do I need to sign something or something?
SKYLER,"Yeah, okay.  We’ll talk about it later."
MARIE,"So, where are you?  Are you at work?"
JESSE,I don’t know what you’re talking about.
MARIE,"Hey, if you can get your leg up that high, I say go for it!"
MARIE,"You know I love my little Pookums. You can leave her with me the next eighteen years, as far as I’m concerned."
WALT,A legal business!  Not this!
WALT,This?  This is an Erlenmeyer flask. You wouldn’t cook in one of these.
JESSE,It’s okay...  It’s okay.  Wanna see it again?
MARIE,What are you gonna tell them?
WALT,"I’ll tell you what I think it is. A ploy.  A ploy to get me cooking again.  And an obvious one, at that."
JESSE,It’s a disease on The Discovery Channel where all your intestines just sorta slip right outta your butt.
JESSE,"Um, crystal.  You think you could hook me up?"
HANK,Cheer up.  You people still got J. Lo.
MIKE,This is a professional courtesy. No one knows I’m here.  Understand?
JESSE,How long you think you’ve been awake?
MARIE,“Get well and best wishes from Ted Beneke and all the folks at Beneke Fabricators!”
JESSE,"Hey, Mr. White."
WALT,You wanna stay with me?
HANK,"Listen, I, uh..."
MARIE,I was... just wondering how you feel about that.
SKYLER,Jesus.
JESSE,"Just figure you could use some coffee, is all.  I know I could."
JESSE,"I can watch, yo.  I can cook, and I can watch."
GUS,"Good.  Now, I suggest that you add this to your Monday maintenance schedule..."
SAUL,Clearly his taste in women is the same as his taste in lawyers: only very best with just the right amount of dirty.
JESSE,"Please, just..?  Dumbass."
HANK,... he attacked me.
JESSE,"Hey, you can dress up like a faggot if you want.  Not me."
SAUL,"Plus, they got bumper boats.  So."
MARIE,You know what I mean.
JESSE,Nothing changes once I walk outta here.  I get myself a new RV and go start cooking again.
HANK,I’m gonna head back out after this.
HANK,"Upon hearing the news, I left Mr. Pinkman and his vehicle to attend to my wife.  After arriving at the hospital, I learned the emergency call was a hoax.  My wife, fortunately, was unharmed..."
WALT,"Let’s get our trays ready... clean, no moisture."
WALT,"-- Whatever.  Whatever, alright?! He’s a multi-millionaire!  What’s he gonna say, “Sorry, too bad, you’re on your own?”"
JESSE,One where the dudes who’re actually doin’ all the work ain’t gettin’ fisted!
WALT,"Red phosphorus, when heat is applied... oxidizes and yields carbonyl chloride.  Phosgene gas. One good whiff of it..."
SAUL,Send him in.
MARIE,"“Prying.”  Oh, that’s very --"
SKYLER,... That’s it.  That’s... it. There you go.  Keep going.  Keep going.  Keep it going.  Keep...
SKYLER,"Um, Marie, this is Ted.  My boss."
WALT JR,Damn.  TV does--add ten pounds.
JESSE,"Yeah, like yours was working."
SKYLER,I don’t want him to die at all! That’s the whole point of this! That’s why I asked you here --
SAUL,"Huh?  Was I right?  Where else you gonna find a cash-only business that’s this much fun?  Unless we’re talking massage parlor, and, uh... I don’t see it!"
SAUL,"Ladies, this is Jesse-San.  He’s in for the full treatment."
WALT JR,"Hey, so check it out.  See what this means?  Check out the date. Next Thursday is officially six months that I’ve had my learner’s. Which means..."
JESSE,Yeah.  I’m done using.
MIKE,"APD'9 been known to sit on this place, keep an eye on the comings and goinga."
WALT JR,I think I’d be good with either an old IROC or a ‘Stang.
SKYLER,Walt...
HANK,"Listen, I hate to bother you.  I just -- I just, uh, I just had a quick question."
GUS,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself. You, and, uh, an assistant."
HANK,How is your old man?  He back teaching?
WALT JR,Yeah.
SKYLER,Walt.  Where’s Holly?
JESSE,Whoa.  No...
SKYLER,Enough.
MARIE,Hank.  You get stronger every day. You don’t need to be in a hospital.
SAUL,"That’s simple.  Walt here came up with a great story about gambling winnings.  Blackjack, right?  Some card-counting system?"
MARIE,Jesus.  I gotta get back.
WALT,W-What if I showed you my secret? Every cook’s got his recipe -- what if I taught you mine?
MIKE,Walter.  You’ve been busy.
MARIE,"Does Walter, Jr. know about this?"
HANK,"It’s been an hour, right?  I’m hurting here.  I could use some meds."
WALT JR,"I’m asking you a question!  W-Why you gotta be like this?!  Why can’t you just TALK, even?!"
GUS,Sit down.
SKYLER,Wow.  Suddenly a fantasy story.
HANK,Marie... who?
HANK,Yeah.  Still there... but less.  A three.
MARIE,"... This is chrysanthemum  It looks like chrysanthemum.  Look at these, Hank, aren’t they beautiful?"
WALT,Walt.  Please call me Walt.
JESSE,"Yeah, no, no.  I’m gonna, I’m gonna make it count alright."
JESSE,Can I come in?
WALT,"No.  Listen...  My brother-in-law, he is surveilling Jesse’s house, you understand?"
WALT,"What’s the matter, Chief?  You having trouble walking there? Stand up.  Don’t be a retard. Stand up and walk."
JESSE,Who says we sell on the street? Maybe I know a whole new market.
SKYLER,No.  He’s just.  Quiet.
WALT,Okay.
WALT,"And you are the only edge that I’ve got, as long as they don’t know that you’re in town.  But I need you to track him.  Get me his address.  And I’ll do the rest."
WALT,"We are not married, Skyler, we’re divorced!"
JESSE,"So I started from scratch and made another.  Then another.  And by the end of the semester -- by, like, box number five?  I had built this thing..."
WALT,You did not have my permission --
SKYLER,What are you doing tomorrow?
HANK,"Hey, Baby."
HANK,"... convinced that Mr. Pinkman was involved in the manufacturing and distribution of phenyl-2 methamphetamine, specifically what we’re calling the “blue meth,” I tracked him to a scrap yard, where he stored an early ‘80s camper... an RV.  While waiting for a warrant to search this vehicle, which I believed to be a rolling meth lab... I received a phone call. Telling me my wife, Marie, had been injured in an accident."
WALT,I watched Jane die.
MARIE,Why can’t you just arrest him? Make him tell you?
HANK,Yes sir.
WALT,"Yeah, I’ll mow.  JPL’s got an exhibit of Mars rover photographs. Supposed to be, the detail... just really amazing.  Really beautiful."
JESSE,If you can’t see what it accomplishes... then there’s no way I can explain it to you.
WALT JR,"Sorry, Uncle Hank.  I won’t try to buy beer again, okay?"
SKYLER,I didn’t count it.  It’s-it’s heavy.  The bag.  Where he keeps it.
MARIE,"Holy Mary, mother of God."
WALT,"Oh. Yeah, you better.. ."
JESSE,Right.
JESSE,For free?
WALT JR,Whatcha been up to lately?  Haven’t seen you for a while.
SKYLER,Sizzle-Lean.  We need to think about our cholesterol.
WALT,It’s gonna be okay.
HANK,May I ask why?
WALT,We’re going.  We have to go. Everything is going to be fine.
SAUL,"Well, one look at this place, you’re gonna fall in love, so..."
MIKE,Your car.  Get it fixed.
SKYLER,"Okay, my estranged husband, who -- when he was working -- made forty- three thousand dollars a year, starts shoveling money at me.  And when the police come, I’m supposed to say “Gee, I, uh, never thought about it, officers.  Made sense to me!”  Really?  That, in your mind, is “plausible deniability.”"
WALT,Okay.
HANK,"Arabian what?  Jesus.  Camels, horses -- a towel-head is a towel-head.  You’re missing my..."
HANK,"Not cool, man.  Not cool."
WALT,Take a drive somewhere.  The almost four of us.
JESSE,"Yeah, but you’re the one sitting here, right?  Telling us thus and so, be happy, forgive yourself, blah-blah."
WALT JR,Why do we need to leave?
MARIE,"(not arguing, but not backing down either)"
WALT JR,Sure.
JESSE,What?
WALT,"I’m actually not here to, uh..."
WALT,#NAME?
JESSE,Um... I dunno.
JESSE,"I got this game.  The Laker Girls all have titties like pine cones. Yo, I’ll show you a trick move. You hit the x-button simultaneous with the --"
MARIE,Knock!  Knock!
SKYLER,Yep.
HANK,"Oh, yeah."
JESSE,"Nah, nah, nah... no shake ’n bake. Where’s your self-respect?  Come on."
JESSE,"I have never been more alone.  I have nothing!  No one.  Alright? And it’s all gone!  Get it?  No, no, no... why-why would you get it? What do you even care?!  As long as you get what you want, right?"
SKYLER,"Flynn, I’m taking you to school."
WALT,How’s the yield?
JESSE,"Yo, if this is s’posed to be all, like, Major League and all, we should have Equipment Maintainer Guys --"
HANK,"Who are you, huh?  Who are you and what do you know about this RV?"
SKYLER,Would you please just --
WALT JR,What’s this--even--made of?!
SKYLER,Oh -- what do you think of Holly?
WALT,Yeah.
HANK,"I don’t get the gag, jag-off.  Who is this?"
HANK,"Marie, I’m working, alright?"
WALT,"It’s a frontrunner, for sure."
WALT,"Oh, hey."
WALT,It’s fine.  Really.  I have a guy.
WALT,"It’s not negligible.  Ball-parking it, I’d say we’re a quarter to a half pound shy."
HANK,I hope it goes without saying...
WALT,"Ah.  Kjeldahl-style recovery flask, 2000 milliliters.  Very nice.  You got your Griffin beakers, you got your volumetric.  But check this out -- the pièce de résistance. Round bottom boiling flask, 5000 milliliters."
MIKE,"But our employer would find out. Like always.  And, if Pinkman were arrested... he’d take it as a problem."
SKYLER,"I really just need this quick and easy.  As quick as, you know, something like this can be."
WALT JR,"You are shittin’ me, right?"
MARIE,"Flynn, your mother’s telling the truth, right here and now.  Believe it."
WALT,It’s complicated.
SKYLER,Oh my God.  Is that you?
JESSE,I bought it from the two guys who killed Combo.
WALT,No.  Why would it?
SKYLER,But you can’t sell that for very long --
SAUL,"“Free?”  Oh ladies, cover your ears!"
JESSE,"Know what is okay to put in hot dogs, huh?  Pig lips and assholes. I say have at it, bitches -- ‘cause I love hot dogs!  And uh, you know, see what I’m -- ?"
SKYLER,Do you have a minute?
MIKE,"Oh, you’re never too old for balloons."
JESSE,"Like, uh... one fly?  Singular?"
JESSE,What’s the point of being an outlaw when you got responsibilities?
MIKE,You’re gonna wanna get your car fixed.
JESSE,"Firecrackers?  Um, you know, I have any firecrackers on me.  Who does a trick with firecrackers?"
GUS,"Then they weren’t bad decisions. What does a man do, Walter?"
WALT,I’m not complaining.
WALT,Oncologist...
GUS,Wwould you slice the garlic?  Very thin.
WALT,"I have made a series of very bad decisions, and I cannot make another one."
SAUL,"Okay, so, what’s Plan B?"
JESSE,You’re late.
MIKE,"Now... when I say I’m looking for Pinkman, we both know why.  Don’t we?  And you pretending otherwise only wastes my time and serves to annoy me."
WALT,You wanna... you wanna start?
WALT,"Growth, decay.  Transformation. It’s fascinating, really."
SKYLER,Have you thought anymore about what we discussed?
WALT,"Oh, I’ll get it."
MARIE,You’re sure it’s okay to drink.
WALT,Non-toxic glue strips.
JESSE,"That is bullshit.  That is bullshit, Krazy-8!  I should kick his punk ass for even thinking that.  Next time you talk to Emilio, you tell him for me."
